transaction_id;product_id;customer_id;transaction_date;online_order;order_status
1;1;2950;25.02.2017;False;Approved
2;2;3120;21.05.2017;True;Approved
3;3;402;16.10.2017;False;Approved
4;4;3135;31.08.2017;False;Approved
5;5;787;01.10.2017;True;Approved
6;6;2339;08.03.2017;True;Approved
7;7;1542;21.04.2017;True;Approved
8;8;2459;15.07.2017;False;Approved
9;9;1305;10.08.2017;False;Approved
10;10;3262;30.08.2017;True;Approved
11;11;1986;17.01.2017;False;Approved
12;12;2783;05.01.2017;True;Approved
13;13;1243;26.02.2017;True;Approved
14;14;2717;10.09.2017;False;Approved
15;5;247;11.06.2017;False;Approved
16;2;2961;10.10.2017;False;Approved
17;15;2426;03.04.2017;False;Approved
18;16;1842;02.06.2017;False;Approved
19;8;2268;06.04.2017;True;Approved
20;6;3002;28.01.2017;True;Approved
21;17;1582;09.10.2017;False;Approved
22;3;595;29.06.2017;True;Approved
23;3;2001;08.04.2017;True;Approved
24;6;515;18.10.2017;False;Approved
25;18;2822;11.06.2017;False;Approved
26;19;2596;10.01.2017;False;Approved
27;19;2666;11.04.2017;True;Approved
28;11;76;23.12.2017;False;Approved
29;20;3368;13.10.2017;True;Approved
30;21;1173;15.03.2017;False;Approved
31;4;2810;05.09.2017;True;Approved
32;22;3214;18.02.2017;False;Approved
33;6;1272;20.03.2017;False;Approved
34;23;2003;28.02.2017;True;Approved
35;24;2171;20.08.2017;False;Approved
36;25;3356;07.07.2017;False;Approved
37;26;1040;09.01.2017;False;Approved
38;1;2916;06.12.2017;False;Approved
39;10;427;12.09.2017;False;Approved
40;24;2448;28.11.2017;True;Approved
41;27;2570;08.05.2017;True;Approved
42;28;3398;14.05.2017;False;Approved
43;21;488;17.03.2017;False;Cancelled
44;29;165;22.12.2017;False;Approved
45;30;2787;07.06.2017;True;Approved
46;31;3053;20.06.2017;False;Approved
47;13;475;07.05.2017;True;Approved
48;32;1305;10.06.2017;True;Approved
49;33;1251;17.06.2017;False;Approved
50;34;3103;10.05.2017;False;Approved
51;35;3108;24.03.2017;False;Approved
52;36;857;27.11.2017;False;Approved
53;37;3455;21.12.2017;True;Approved
54;17;2549;09.02.2017;True;Approved
55;38;3140;18.09.2017;False;Approved
56;23;3406;14.11.2017;False;Approved
57;36;2294;30.08.2017;True;Approved
58;39;1031;14.11.2017;False;Approved
59;40;993;15.02.2017;True;Approved
60;41;3473;18.12.2017;False;Approved
61;42;1839;24.02.2017;False;Approved
62;16;1824;18.12.2017;True;Approved
63;22;368;17.12.2017;False;Approved
64;17;2000;08.07.2017;False;Approved
65;43;825;16.05.2017;True;Approved
66;33;3315;23.02.2017;True;Approved
67;1;75;03.07.2017;True;Approved
68;44;1498;30.09.2017;True;Approved
69;2;1612;21.10.2017;True;Approved
70;17;2192;06.05.2017;True;Approved
